##Temp./°C;Time/min;Mass/%;Segment
849.96715;129.0;97.05608;2
830.88047;129.5;97.05601;2
811.93253;130.0;97.05586;2
793.07812;130.5;97.05586;2
774.31034;131.0;97.05563;2
755.57821;131.5;97.05548;2
737.00622;132.0;97.05518;2
718.81053;132.5;97.05511;2
701.06775;133.0;97.05488;2
683.93728;133.5;97.05465;2
667.38557;134.0;97.05446;2
651.38282;134.5;97.05424;2
635.88545;135.0;97.05405;2
620.82122;135.5;97.0539;2
606.22102;136.0;97.05371;2
591.94689;136.5;97.05364;2
578.05386;137.0;97.05345;2
564.53952;137.5;97.05325;2
551.4266;138.0;97.05303;2
538.67626;138.5;97.05295;2
526.29481;139.0;97.0528;2
514.23943;139.5;97.0528;2
502.47136;140.0;97.05254;2
491.01803;140.5;97.0525;2
479.84023;141.0;97.05235;2
468.92596;141.5;97.05223;2
458.30428;142.0;97.0522;2
